CITY,OBJECTID,DZCODE,CITY_NAME_,CITY_NAME2,dzcode_1,coord_long,coord_lat,pos_x,pos_y,cityclass,Area_km2,Shape_Length,Shape_Area,Cohesion,nCohesion,Cohesion_km,Proximity,nProximity,Spin,nSpin,Range,nRange
511600,229,5116,Guang'an,Guang'an,5116,106.63,30.47,6325,5807,0,35.05710882,23341.49766,35057108.82,3125.619842,0.967648097,3.125619842,2295.361188,0.970221332,6044810.904,0.923025095,8270.812211,0.807783443
520300,75,5203,Zunyi,Zunyi,5203,106.87,27.63,6350,6431,0,35.24113534,24185.979,35241135.34,3260.39782,0.930079143,3.26039782,2390.79761,0.933933465,6716130.623,0.835123854,9741.112274,0.687656347
130800,80,1308,Chengde,Chengde,1308,117.93,40.97,8248,3445,0,36.40206172,34451.96316,36402061.72,4752.914474,0.648438131,4.752914474,3518.178301,0.645028568,16340087.54,0.354561629,15087.49784,0.451232975
341800,31,3418,xuancheng,Xuancheng,3418,118.73,30.91,8575,5650,0,37.31025114,23808.40093,37310251.14,3185.416028,0.979520386,3.185416028,2343.837429,0.980212882,6263566.106,0.94803995,8766.133366,0.786250748
620400,40,6204,Baiyin,Baiyin,6204,104.22,36.55,5955,4445,0,38.02771918,23811.24227,38027719.18,3223.695284,0.977151064,3.223695284,2363.97561,0.981162525,6370473.085,0.950054949,8718.658981,0.798096686
610900,187,6109,Ankang,Ankang,6109,109.02,32.68,6777,5329,0,38.40986905,24729.55385,38409869.05,3330.215868,0.95063671,3.330215868,2445.799349,0.953091053,6936863.861,0.881251333,9320.035929,0.75034136
440200,54,4402,Shaoguan,Shaoguan,4402,113.6,24.82,7673,7040,0,38.64247219,28816.12585,38642472.19,3697.06449,0.858896789,3.69706449,2697.868559,0.866653448,8971442.8,0.685524124,11323.20916,0.619466723
230300,93,2303,Jixi,Jixi,2303,130.92,45.32,10142,2207,0,40.37262577,24297.09781,40372625.77,3295.440511,0.984907797,3.295440511,2418.562921,0.988143259,6634345.673,0.968520978,8739.781476,0.820347735
620700,50,6207,Zhangye,Zhangye,6207,100.45,38.93,5355,3871,0,40.45259176,25690.22418,40452591.76,3353.364537,0.968853165,3.353364537,2456.078905,0.974012803,6918080.988,0.930638128,9678.604826,0.741507379
510800,230,5108,Guangyuan,Guangyuan,5108,105.86,32.4,6200,5376,0,41.22955597,26468.67476,41229555.97,3531.199814,0.928854287,3.531199814,2583.197645,0.934933018,7827156.429,0.838348856,9738.365774,0.744000634
361000,151,3610,Fuzhou,Fuzhou,3610,116.35,27.97,8176,6327,0,41.97131879,25106.20204,41971318.79,3439.731939,0.96209346,3.439731939,2525.655749,0.964797029,7334793.965,0.910719904,9536.461364,0.766556399
330800,258,3308,Quzhou,Quzhou,3308,118.86,28.9,8639,6088,0,42.01925363,27190.01247,42019253.63,3743.142147,0.88461317,3.743142147,2747.626385,0.88736091,9051855.613,0.738806738,10908.65706,0.670514135
450800,64,4508,Guigang,Guigang,4508,109.62,23.1,6878,7426,0,42.5315927,24819.02805,42531592.7,3392.15382,0.982077677,3.39215382,2495.75931,0.982849289,7087931.264,0.955019591,8894.273145,0.827371239
511700,227,5117,Dazhou,Dazhou,5117,107.47,31.25,6487,5639,0,42.88423817,25627.82069,42884238.17,3418.71908,0.978477825,3.41871908,2518.431636,0.978030702,7237357.453,0.943056707,9516.767644,0.776451696
640400,6,6404,guyuan,Guyuan,6404,106.26,36.05,6303,4572,0,43.75355999,24811.67864,43753559.99,3408.75604,0.991234321,3.40875604,2505.727783,0.992902522,7099556.238,0.980849382,8500.91857,0.8780028
431300,130,4313,Loudi,Loudi,4313,112,27.73,7341,6415,0,43.94408745,25452.73976,43944087.45,3469.796774,0.975914431,3.469796774,2537.884577,0.98245386,7331774.444,0.953918971,8529.640438,0.876949451
640200,7,6402,Shizuishan,Shizuishan,6402,106.4,39,6352,3921,2,44.92709026,27610.05845,44927090.26,3634.83389,0.941965792,3.63483389,2662.666156,0.946828305,8245939.613,0.86713811,9982.311488,0.757666504
610500,190,6105,Weinan,Weinan,6105,109.5,34.5,6866,4927,0,46.98753613,27861.45225,46987536.13,3722.679226,0.940591986,3.722679226,2735.510842,0.942511592,8726081.728,0.85700534,10683.1751,0.724012475
420800,116,4208,Jingmen,Jingmen,4208,112.17,31,7358,5696,0,47.23525025,29989.67866,47235250.25,4067.233778,0.863176342,4.067233778,3000.205371,0.861620316,10962554.38,0.685763856,12410.11391,0.624902701
140300,223,1403,Yangquan,Yangquan,1403,113.57,37.85,7563,4175,0,47.31396548,27292.89448,47313965.48,3692.685367,0.951520003,3.692685367,2709.350305,0.954911928,8515782.387,0.884270069,10523.19065,0.737568389
530600,251,5306,Zhaotong,Zhaotong,5306,103.72,27.29,5738,6477,3,47.35198789,27300.00597,47351987.89,3730.865371,0.942160915,3.730865371,2735.617819,0.946122757,8724448.416,0.863814258,10856.31992,0.715223103
610700,189,6107,Hanzhong,Hanzhong,6107,107.02,33.07,6416,5236,0,47.77494414,26155.32526,47774944.14,3655.921405,0.965759073,3.655921405,2683.803572,0.968686332,8270125.655,0.919407858,9796.540221,0.796127137
350900,36,3509,Ningde,Ningde,3509,119.5,26.65,8808,6567,0,48.37525462,27279.92786,48375254.62,3699.989334,0.960233191,3.699989334,2716.67341,0.962959461,8526431.835,0.902975717,10223.98959,0.76762002
410600,100,4106,Hebi,Hebi,4106,114.28,35.75,7704,4635,0,48.42024074,28211.22049,48420240.74,3900.598998,0.91127136,3.900598998,2885.060863,0.907177557,9869860.78,0.780793248,11227.91298,0.699309605
510400,237,5104,Panzhihua,Panzhihua,5104,101.7,26.54,5333,6612,0,49.48270007,29053.36832,49482700.07,3885.942156,0.92468948,3.885942156,2846.900658,0.929369009,9547343.448,0.824880382,11074.8732,0.71670922
451000,61,4510,Bose,Baise,4510,106.62,23.9,6274,7241,0,50.08538966,28143.72584,50085389.66,3784.585533,0.955218571,3.784585533,2784.053916,0.956118434,8957434.822,0.889912961,10690.87534,0.746959959
620900,44,6209,Jiuquan,Jiuquan,6209,98.52,39.75,5054,3657,0,50.13467344,27422.86433,50134673.44,3759.668952,0.962022087,3.759668952,2765.346329,0.963060056,8789828.466,0.907774381,9975.019808,0.800959188
620300,43,6203,Jinchang,Jinchang,6203,102.17,38.45,5634,4002,0,51.13703112,27369.66953,51137031.12,3724.476007,0.980772157,3.724476007,2737.847593,0.982408906,8526366.228,0.954534565,9401.775697,0.858248254
361100,158,3611,Shangrao,Shangrao,3611,117.97,28.45,8478,6200,0,51.31257418,28924.38174,51312574.18,3888.972776,0.940898014,3.888972776,2857.182614,0.942991346,9525209.251,0.857372222,11485.38425,0.703754899
511000,236,5110,Neijiang,Neijiang,5110,105.03,29.55,6017,5996,0,52.26232347,27450.61296,52262323.47,3747.181726,0.985496656,3.747181726,2755.411529,0.986828515,8620075.717,0.964934345,10252.9476,0.795610815
621000,47,6210,qingyang,Qingyang,6210,107.63,35.73,6540,4651,0,52.35935119,35505.18537,52359351.19,4894.494071,0.755187643,4.894494071,3624.579265,0.750884831,16354365.68,0.509542817,14527.61139,0.562028027
451300,68,4513,Laibin,Laibin,4513,109.23,23.73,6800,7289,0,52.54598424,27782.48922,52545984.24,3807.302627,0.972563398,3.807302627,2800.234428,0.973664149,8965325.926,0.932810831,9859.70664,0.829584887
640300,8,6403,Wuzhong,Wuzhong,6403,106.23,37.98,6314,4145,0,53.65395249,28857.56345,53653952.49,3854.365148,0.970763767,3.854365148,2825.5912,0.975046517,9129165.222,0.935385826,9845.092693,0.839529788
430400,128,4304,hengyang,Hengyang,4304,112.6,26.88,7462,6598,0,54.10025025,27987.44247,54100250.25,3807.612705,0.986762016,3.807612705,2801.602238,0.987476947,8907265.104,0.966662847,9686.355098,0.856829302
350800,35,3508,Longyan,Longyan,3508,117.02,25.07,8350,6950,0,54.62921004,29609.09506,54629210.04,4050.53418,0.932106878,4.05053418,2988.25947,0.930310581,10457022.61,0.831451661,11533.88987,0.723088941
441400,15,4414,Meizhou,Meizhou,4414,116.12,24.28,8182,7133,0,58.57160499,30081.81451,58571604.99,4032.310308,0.969516423,4.032310308,2953.286141,0.974701961,9984035.559,0.933686624,10334.75082,0.835600348
431000,127,4310,Chenzhou,Chenzhou,4310,113.01,25.75,7549,6842,0,58.58564658,30802.94436,58585646.58,4025.732372,0.971216982,4.025732372,2953.430712,0.97477107,10001614.88,0.932268975,11545.44853,0.748065909
131100,82,1311,Hengshui,Hengshui,1311,115.68,37.73,7923,4185,0,61.52941593,30381.58984,61529415.93,4090.054337,0.979665631,4.090054337,3005.462747,0.981666231,10294299.72,0.95127507,10159.48682,0.871213676
210900,174,2109,FUxin,Fuxin,2109,121.67,42.02,8828,3156,0,61.56644484,30119.22076,61566444.84,4176.552316,0.959665022,4.176552316,3064.37331,0.963084008,10803582.24,0.906977316,11153.93753,0.793777692
510500,232,5105,Luzhou,Luzhou,5105,105.37,28.87,6074,6148,0,62.49729278,38998.48372,62497292.78,4660.864383,0.866422436,4.660864383,3363.433873,0.884059537,13956064.22,0.712719067,13806.67707,0.646095171
430700,125,4307,Changde,Changde,4307,111.68,29.05,7274,6127,0,63.72547814,30334.15977,63725478.14,4150.872625,0.982387207,4.150872625,3051.864661,0.983841382,10588614.47,0.95784249,11007.19306,0.81834235
530700,247,5307,Lijiang,Lijiang,5307,100.23,26.88,5054,6512,0,63.81471277,32227.4594,63814712.77,4407.507127,0.925833604,4.407507127,3252.441889,0.923814274,12494043.71,0.812901509,13366.03603,0.67439267
340800,17,3408,Anqing,Anqing,3408,117.05,30.53,8270,5758,0,63.86587839,31045.00449,63865878.39,4234.532744,0.964038777,4.234532744,3119.159298,0.963675226,11195971.82,0.907877441,11414.01518,0.790043598
220400,166,2204,Liaoyuan,Liaoyuan,2204,125.13,42.88,9350,2895,0,64.26992825,30447.02968,64269928.25,4165.700918,0.983063056,4.165700918,3055.48959,0.986863085,10602572.56,0.964754234,10745.70625,0.841829233
510900,238,5109,suining,Suining,5109,105.55,30.47,6124,5799,0,66.48623647,32164.38858,66486236.47,4371.511541,0.952795724,4.371511541,3228.820816,0.949851549,12068940.35,0.876764063,11851.49579,0.7763325
610600,194,6106,Yan'an,Yan'an,6106,109.46,36.58,6862,4467,0,66.82335196,34757.05602,66823351.96,4585.709534,0.910590552,4.585709534,3363.281908,0.914186201,13449070.05,0.79078083,13239.35109,0.696710713
141000,218,1410,Linfen,Linfen,1410,111.5,36.08,7216,4576,0,68.50830351,32107.01488,68508303.51,4314.054825,0.980057373,4.314054825,3172.663475,0.981253915,11461165.84,0.951337351,10676.5069,0.874777252
441600,10,4416,heyuan,Heyuan,4416,114.69,23.77,7901,7259,0,69.16104633,34923.22887,69161046.33,4716.428579,0.900706028,4.716428579,3468.168032,0.901912594,14417754.4,0.763456089,14789.38457,0.634506002
421000,117,4210,Jingzhou,Jingzhou,4210,112.23,30.33,7372,5843,0,70.55101134,39426.20215,70551011.34,5442.476765,0.788352759,5.442476765,4001.536989,0.789511737,20106117.48,0.55846397,16722.40788,0.566771324
530400,250,5304,Yuxi,Yuxi,5304,102.51,24.33,5455,7104,0,70.90873113,32222.79096,70908731.13,4417.508137,0.973728884,4.417508137,3249.572844,0.97466952,12071764.59,0.934865403,11552.75922,0.82246835
341600,19,3416,Bozhou,Bozhou,3416,115.78,33.85,7990,5042,0,71.31334598,32711.6636,71313345.98,4463.056618,0.966537179,4.463056618,3289.071446,0.965708167,12451197.21,0.911548611,12750.41732,0.747336281
440900,14,4409,Maoming,Maoming,4409,110.82,21.65,7124,7737,0,72.36296462,33690.91911,72362964.62,4583.663681,0.948005779,4.583663681,3359.760498,0.952321656,13090605.39,0.879785401,12507.51023,0.767436354
450700,71,4507,Qinzhou,Qinzhou,4507,108.62,22,6671,7661,0,73.71412677,32243.18439,73714126.77,4426.691628,0.990744448,4.426691628,3257.503775,0.991343674,12006502.24,0.977134507,10910.23578,0.887965895
140500,216,1405,Jincheng,Jincheng,1405,112.83,35.5,7452,4699,0,74.04031924,37075.466,74040319.24,4708.81737,0.933443097,4.70881737,3448.769734,0.938434029,14031992.07,0.839786877,14380.33957,0.675180762
211300,170,2113,Chaoyang,Chaoyang,2113,120.41,41.55,8637,3281,0,74.49293357,36315.29301,74492933.57,4836.625638,0.911550259,4.836625638,3563.811781,0.910912337,15118151.54,0.784217474,15119.94272,0.644113575
211400,175,2114,Huludao,Huludao,2114,120.83,40.72,8725,3456,4,74.55556681,35881.98217,74555566.81,4687.468796,0.940951421,4.687468796,3434.712266,0.945547785,13855363.7,0.85641108,14983.99703,0.650230623
140800,224,1408,Yuncheng,Yuncheng,1408,110.96,35.04,7125,4807,0,75.00804863,33884.85206,75008048.63,4635.532108,0.954376845,4.635532108,3413.382541,0.954339227,13501649.98,0.88418095,13301.12154,0.734718087
210500,169,2105,Benxi,Benxi,2105,123.77,41.27,9186,3277,0,75.55937417,34697.37405,75559374.17,4648.428375,0.955220395,4.648428375,3412.567251,0.958068942,13513605.53,0.889891885,14309.62596,0.685442381
220300,167,2203,Siping,Siping,2203,124.35,43.17,9218,2850,0,76.14841322,34329.03993,76148413.22,4743.422667,0.939732308,4.743422667,3486.444617,0.941415756,14151605.72,0.856397261,13771.78877,0.714982044
441200,58,4412,Zhaoqing,Zhaoqing,4412,112.46,23.06,7455,7428,0,77.28125537,35828.94893,77281255.37,4714.969216,0.952409626,4.714969216,3452.890992,0.957608563,13767235.99,0.893403281,13396.26578,0.740471569
341500,26,3415,Lu'an,Lu'an,3415,116.5,31.72,8150,5503,0,78.61761348,35431.89028,78617613.48,4803.16929,0.942969375,4.80316929,3519.742461,0.947507912,14398550.74,0.869002862,13705.29636,0.730006213
140600,220,1406,Shuozhou,Shuozhou,1406,112.41,39.33,7357,3854,0,79.03897616,35040.21309,79038976.16,4838.242635,0.93863893,4.838242635,3551.681804,0.94150018,14689780.19,0.856339822,13479.83482,0.74420253
411000,111,4110,Xuchang,Xuchang,4110,113.79,34,7633,5025,0,79.11687114,33413.48465,79116871.14,4603.726002,0.986939743,4.603726002,3384.195899,0.988582371,12984044.15,0.969793462,11558.41599,0.868342966
420700,114,4207,Ezhou,Ezhou,4207,114.82,30.37,7856,5818,0,80.29007478,38427.82567,80290074.78,5342.660563,0.856719993,5.342660563,3952.232314,0.852751066,18834233.24,0.678475312,15473.13319,0.653443025
410800,101,4108,Jiaozuo,Jiaozuo,4108,113.25,35.22,7527,4759,0,80.39653284,34087.12432,80396532.84,4699.832448,0.974544867,4.699832448,3457.301149,0.975473002,13680687.53,0.935296971,12733.00668,0.794589373
411500,110,4115,Xinyang,Xinyang,4115,114.07,32.13,7700,5436,0,81.51764772,34017.77872,81517647.72,4651.222847,0.991571934,4.651222847,3424.420327,0.991682291,13264735,0.978077329,11732.1006,0.868370579
330900,262,3309,zhoushan,Zhoushan,3309,122.2,30,9241,5781,0,82.84171181,61667.15048,82841711.81,9059.698414,0.513187826,9.059698414,6922.942134,0.494501525,60258333.41,0.218802399,25462.5408,0.403346092
140900,222,1409,Xinzhou,Xinzhou,1409,112.73,38.39,7416,4060,0,83.85058726,37027.28596,83850587.26,5129.934172,0.911815175,5.129934172,3766.725664,0.914371893,16811654.49,0.793808572,15309.07271,0.67493077
411600,113,4116,Zhoukou,Zhoukou,4116,114.65,33.62,7791,5103,0,84.25536579,34888.79282,84255365.79,4802.677007,0.976294759,4.802677007,3525.512166,0.979287861,14189891.85,0.94501481,12990.65022,0.797302185
331100,256,3311,lishui,Lishui,3311,119.92,28.45,8850,6167,0,86.40467731,42657.85104,86404677.31,5621.936337,0.844594515,5.621936337,4143.080149,0.843876895,20476287.27,0.671593015,16105.72695,0.651243428
441700,56,4417,Yangjiang,Yangjiang,4417,111.98,21.87,7363,7687,0,86.59390448,35852.45634,86593904.48,4853.069658,0.979473499,4.853069658,3561.876916,0.98264932,14445420.17,0.954063487,12640.67513,0.830669856
340700,29,3407,Tongling,Tongling,3407,117.82,30.88,8407,5670,0,87.44594748,43040.87557,87445947.48,5272.303626,0.906014159,5.272303626,3833.413918,0.917525057,17567031.62,0.79224852,14826.78024,0.711669006
150600,2,1506,Eerduosi,Ordos,1506,109.83,39.7,6927,3777,0,88.0916641,38475.38479,88091664.1,5019.831886,0.955088879,5.019831886,3680.543979,0.959155894,15637176.35,0.896595617,13863.78841,0.763907097
150500,3,1505,Tongliao,Tongliao,1505,122.29,43.61,8883,2797,0,92.98283423,37306.24094,92982834.23,5178.161108,0.951242806,5.178161108,3794.468557,0.955837877,16646979.48,0.888970741,14228.17637,0.764728383
610300,188,6103,Baoji,Baoji,6103,107.13,34.37,6444,4949,0,93.37477886,42735.15993,93374778.86,5904.844156,0.835933841,5.904844156,4370.417662,0.831621397,23423910.09,0.634439663,18016.79141,0.605190918
450900,73,4509,Yulin,Yulin,4509,110.12,22.64,6980,7525,0,95.02778167,39136.27239,95027781.67,5174.962118,0.962240594,5.174962118,3803.548224,0.963984772,16694231.8,0.905950113,14953.16317,0.735609421
130700,88,1307,Zangjiakou,Zhangjiakou,1307,114.88,40.82,7753,3510,4,95.68187493,40806.74034,95681874.93,5553.366196,0.899754609,5.553366196,4076.998308,0.902418753,19672068.65,0.77410483,15601.28033,0.707472653
340600,23,3406,Huaibei,Huaibei,3406,116.8,33.95,8171,5008,0,96.40121448,39976.46104,96401214.48,5390.24855,0.930460658,5.39024855,3957.945226,0.933050774,18317128.61,0.837616536,15942.17367,0.694942346
130500,87,1305,Xingtai,Xingtai,1305,114.48,37.07,7725,4342,0,97.18368201,37273.6836,97183682.01,5120.899521,0.983367779,5.120899521,3745.783521,0.989891977,15889928.6,0.973400433,12642.18847,0.879892212
210700,176,2107,Jinzhou,Jinzhou,2107,121.13,41.1,8765,3367,0,97.68947116,38268.97105,97689471.16,5176.566451,0.975321145,5.176566451,3798.584789,0.978669061,16463681.95,0.944367261,13259.23642,0.841124773
360400,155,3604,Jiujiang,Jiujiang,3604,116,29.7,8086,5953,0,98.03349017,42346.13766,98033490.17,5655.037311,0.894370182,5.655037311,4153.376019,0.896643461,20774574.16,0.751038959,17583.24021,0.635394399
